act_AcceptCarReq_avg_arrival,act_AcceptCarReq_avg_duration,act_AcceptCarReq_whole_duration,act_AcceptCarReq_avgwaiting_time,act_AcceptCarReq_wholewaiting_time,act_AcceptCarReq_waiting_events,act_AcceptCarReq_finished_events,act_AcceptCarReq_idle_time,act_AcceptCarReq_inprocess_events,act_AcceptCarReq_unique_resources,act_AcceptCarReq_engaged_resources
78,0.0,0.0,0.0,0.0,0,78,0.10333333333333333,0,1,78
77,0.0,0.0,0.0,0.0,0,77,0.11694444444444445,0,1,77
80,0.0,0.0,0.0,0.0,0,80,0.1125,0,1,80
53,0.0,0.0,0.0,0.0,0,53,0.17166666666666666,0,1,53
51,0.0,0.0,0.0,0.0,0,51,0.1938888888888889,0,1,51
78,0.0,0.0,0.0,0.0,0,78,0.11527777777777778,0,1,78
56,0.0,0.0,0.0,0.0,0,56,0.16361111111111112,0,1,56
62,0.0,0.0,0.0,0.0,0,62,0.1475,0,1,62
58,0.0,0.0,0.0,0.0,0,58,0.13805555555555554,0,1,58
61,0.0,0.0,0.0,0.0,0,61,0.15,0,1,61
56,0.0,0.0,0.0,0.0,0,56,0.14472222222222222,0,1,56
64,0.0,0.0,0.0,0.0,0,64,0.14277777777777778,0,1,64
61,0.0,0.0,0.0,0.0,0,61,0.13333333333333333,0,1,61
58,0.0,0.0,0.0,0.0,0,58,0.15694444444444444,0,1,58
64,0.0,0.0,0.0,0.0,0,64,0.14277777777777778,0,1,64
66,0.0,0.0,0.0,0.0,0,66,0.12305555555555556,0,1,66
56,0.0,0.0,0.0,0.0,0,56,0.14527777777777778,0,1,56
69,0.0,0.0,0.0,0.0,0,69,0.1322222222222222,0,1,69
63,0.0,0.0,0.0,0.0,0,63,0.10972222222222222,0,1,63
61,0.0,0.0,0.0,0.0,0,61,0.15,0,1,61
58,0.0,0.0,0.0,0.0,0,58,0.15777777777777777,0,1,58
51,0.0,0.0,0.0,0.0,0,51,0.17833333333333334,0,1,51
55,0.0,0.0,0.0,0.0,0,55,0.1625,0,1,55
59,0.0,0.0,0.0,0.0,0,59,0.155,0,1,59
60,0.0,0.0,0.0,0.0,0,60,0.15166666666666667,0,1,60
57,0.0,0.0,0.0,0.0,0,57,0.16055555555555556,0,1,57
60,0.0,0.0,0.0,0.0,0,60,0.1511111111111111,0,1,60
61,0.0,0.0,0.0,0.0,0,61,0.14916666666666667,0,1,61
62,0.0,0.0,0.0,0.0,0,62,0.1475,0,1,62
62,0.0,0.0,0.0,0.0,0,62,0.1475,0,1,62
67,0.0,0.0,0.0,0.0,0,67,0.12027777777777778,0,1,67
58,0.0,0.0,0.0,0.0,0,58,0.14027777777777778,0,1,58
63,0.0,0.0,0.0,0.0,0,63,0.145,0,1,63
60,0.0,0.0,0.0,0.0,0,60,0.1511111111111111,0,1,60
58,0.0,0.0,0.0,0.0,0,58,0.14027777777777778,0,1,58
55,0.0,0.0,0.0,0.0,0,55,0.16555555555555557,0,1,55
67,0.0,0.0,0.0,0.0,0,67,0.1361111111111111,0,1,67
55,0.0,0.0,0.0,0.0,0,55,0.16666666666666666,0,1,55
60,0.0,0.0,0.0,0.0,0,60,0.1525,0,1,60
53,0.0,0.0,0.0,0.0,0,53,0.12833333333333333,0,1,53
65,0.0,0.0,0.0,0.0,0,65,0.10666666666666667,0,1,65
65,0.0,0.0,0.0,0.0,0,65,0.10833333333333334,0,1,65
58,0.0,0.0,0.0,0.0,0,58,0.15777777777777777,0,1,58
62,0.0,0.0,0.0,0.0,0,62,0.13111111111111112,0,1,62
65,0.0,0.0,0.0,0.0,0,65,0.13972222222222222,0,1,65
50,0.0,0.0,0.0,0.0,0,50,0.16083333333333333,0,1,50
51,0.0,0.0,0.0,0.0,0,51,0.15833333333333333,0,1,51
51,0.0,0.0,0.0,0.0,0,51,0.15916666666666668,0,1,51
57,0.0,0.0,0.0,0.0,0,57,0.16055555555555556,0,1,57
61,0.0,0.0,0.0,0.0,0,61,0.13333333333333333,0,1,61
78,0.0,0.0,0.0,0.0,0,78,0.11638888888888889,0,1,78
44,0.0,0.0,0.0,0.0,0,44,0.18444444444444444,0,1,44
55,0.0,0.0,0.0,0.0,0,55,0.1827777777777778,0,1,55
81,0.0,0.0,0.0,0.0,0,81,0.11138888888888888,0,1,81
63,0.0,0.0,0.0,0.0,0,63,0.145,0,1,63
63,0.0,0.0,0.0,0.0,0,63,0.12833333333333333,0,1,63
54,0.0,0.0,0.0,0.0,0,54,0.16972222222222222,0,1,54
66,0.0,0.0,0.0,0.0,0,66,0.13833333333333334,0,1,66
66,0.0,0.0,0.0,0.0,0,66,0.1225,0,1,66
61,0.0,0.0,0.0,0.0,0,61,0.13277777777777777,0,1,61
56,0.0,0.0,0.0,0.0,0,56,0.12527777777777777,0,1,56
54,0.0,0.0,0.0,0.0,0,54,0.16972222222222222,0,1,54
55,0.0,0.0,0.0,0.0,0,55,0.1463888888888889,0,1,55
56,0.0,0.0,0.0,0.0,0,56,0.16361111111111112,0,1,56
54,0.0,0.0,0.0,0.0,0,54,0.15083333333333335,0,1,54
55,0.0,0.0,0.0,0.0,0,55,0.14805555555555555,0,1,55
66,0.0,0.0,0.0,0.0,0,66,0.1375,0,1,66
58,0.0,0.0,0.0,0.0,0,58,0.15777777777777777,0,1,58
66,0.0,0.0,0.0,0.0,0,66,0.1375,0,1,66
56,0.0,0.0,0.0,0.0,0,56,0.16111111111111112,0,1,56
65,0.0,0.0,0.0,0.0,0,65,0.13972222222222222,0,1,65
57,0.0,0.0,0.0,0.0,0,57,0.16055555555555556,0,1,57
58,0.0,0.0,0.0,0.0,0,58,0.1388888888888889,0,1,58
60,0.0,0.0,0.0,0.0,0,60,0.1525,0,1,60
60,0.0,0.0,0.0,0.0,0,60,0.15166666666666667,0,1,60
56,0.0,0.0,0.0,0.0,0,56,0.16361111111111112,0,1,56
58,0.0,0.0,0.0,0.0,0,58,0.14027777777777778,0,1,58
71,0.0,0.0,0.0,0.0,0,71,0.12833333333333333,0,1,71
68,0.0,0.0,0.0,0.0,0,68,0.13277777777777777,0,1,68
75,0.0,0.0,0.0,0.0,0,75,0.12055555555555555,0,1,75
49,0.0,0.0,0.0,0.0,0,49,0.16583333333333333,0,1,49
50,0.0,0.0,0.0,0.0,0,50,0.20166666666666666,0,1,50
74,0.0,0.0,0.0,0.0,0,74,0.1213888888888889,0,1,74
64,0.0,0.0,0.0,0.0,0,64,0.12611111111111112,0,1,64
72,0.0,0.0,0.0,0.0,0,72,0.1272222222222222,0,1,72
84,0.0,0.0,0.0,0.0,0,84,0.11861111111111111,0,1,84
86,0.0,0.0,0.0,0.0,0,86,0.09416666666666666,0,1,86
99,0.0,0.0,0.0,0.0,0,99,0.08944444444444444,0,1,99
95,0.0,0.0,0.0,0.0,0,95,0.09555555555555556,0,1,95
49,0.0,0.0,0.0,0.0,0,49,0.1875,0,1,49
49,0.0,0.0,0.0,0.0,0,49,0.2063888888888889,0,1,49
59,0.0,0.0,0.0,0.0,0,59,0.15444444444444444,0,1,59
78,0.0,0.0,0.0,0.0,0,78,0.10277777777777777,0,1,78
78,0.0,0.0,0.0,0.0,0,78,0.12861111111111112,0,1,78
73,0.0,0.0,0.0,0.0,0,73,0.12305555555555556,0,1,73
50,0.0,0.0,0.0,0.0,0,50,0.1413888888888889,0,1,50
55,0.0,0.0,0.0,0.0,0,55,0.16805555555555557,0,1,55
76,0.0,0.0,0.0,0.0,0,76,0.1322222222222222,0,1,76
72,0.0,0.0,0.0,0.0,0,72,0.12583333333333332,0,1,72
80,0.0,0.0,0.0,0.0,0,80,0.12222222222222222,0,1,80
56,0.0,0.0,0.0,0.0,0,56,0.16361111111111112,0,1,56
47,0.0,0.0,0.0,0.0,0,47,0.21333333333333335,0,1,47
62,0.0,0.0,0.0,0.0,0,62,0.1461111111111111,0,1,62
61,0.0,0.0,0.0,0.0,0,61,0.14944444444444444,0,1,61
43,0.0,0.0,0.0,0.0,0,43,0.23277777777777778,0,1,43
69,0.0,0.0,0.0,0.0,0,69,0.13111111111111112,0,1,69
50,0.0,0.0,0.0,0.0,0,50,0.19777777777777777,0,1,50
63,0.0,0.0,0.0,0.0,0,63,0.14277777777777778,0,1,63
56,0.0,0.0,0.0,0.0,0,56,0.16361111111111112,0,1,56
66,0.0,0.0,0.0,0.0,0,66,0.12083333333333333,0,1,66
97,0.0,0.0,0.0,0.0,0,97,0.10138888888888889,0,1,97
79,0.0,0.0,0.0,0.0,0,79,0.11555555555555555,0,1,79
94,0.0,0.0,0.0,0.0,0,94,0.09444444444444444,0,1,94
107,0.0,0.0,0.0,0.0,0,107,0.08416666666666667,0,1,107
48,0.0,0.0,0.0,0.0,0,48,0.19055555555555556,0,1,48
50,0.0,0.0,0.0,0.0,0,50,0.20222222222222222,0,1,50
64,0.0,0.0,0.0,0.0,0,64,0.14222222222222222,0,1,64
76,0.0,0.0,0.0,0.0,0,76,0.10611111111111111,0,1,76
73,0.0,0.0,0.0,0.0,0,73,0.13694444444444445,0,1,73
81,0.0,0.0,0.0,0.0,0,81,0.11083333333333334,0,1,81
57,0.0,0.0,0.0,0.0,0,57,0.16055555555555556,0,1,57
50,0.0,0.0,0.0,0.0,0,50,0.14277777777777778,0,1,50
77,0.0,0.0,0.0,0.0,0,77,0.13027777777777777,0,1,77
84,0.0,0.0,0.0,0.0,0,84,0.10777777777777778,0,1,84
88,0.0,0.0,0.0,0.0,0,88,0.11388888888888889,0,1,88
50,0.0,0.0,0.0,0.0,0,50,0.1836111111111111,0,1,50
52,0.0,0.0,0.0,0.0,0,52,0.19277777777777777,0,1,52
55,0.0,0.0,0.0,0.0,0,55,0.16527777777777777,0,1,55
65,0.0,0.0,0.0,0.0,0,65,0.0925,0,1,65
62,0.0,0.0,0.0,0.0,0,62,0.16027777777777777,0,1,62
58,0.0,0.0,0.0,0.0,0,58,0.15722222222222224,0,1,58
47,0.0,0.0,0.0,0.0,0,47,0.21444444444444444,0,1,47
54,0.0,0.0,0.0,0.0,0,54,0.16916666666666666,0,1,54
54,0.0,0.0,0.0,0.0,0,54,0.1502777777777778,0,1,54
49,0.0,0.0,0.0,0.0,0,49,0.2036111111111111,0,1,49
62,0.0,0.0,0.0,0.0,0,62,0.1475,0,1,62
53,0.0,0.0,0.0,0.0,0,53,0.1897222222222222,0,1,53
73,0.0,0.0,0.0,0.0,0,73,0.12361111111111112,0,1,73
58,0.0,0.0,0.0,0.0,0,58,0.15777777777777777,0,1,58
53,0.0,0.0,0.0,0.0,0,53,0.13333333333333333,0,1,53
55,0.0,0.0,0.0,0.0,0,55,0.14722222222222223,0,1,55
66,0.0,0.0,0.0,0.0,0,66,0.1375,0,1,66
67,0.0,0.0,0.0,0.0,0,67,0.1361111111111111,0,1,67
62,0.0,0.0,0.0,0.0,0,62,0.1475,0,1,62
63,0.0,0.0,0.0,0.0,0,63,0.145,0,1,63
56,0.0,0.0,0.0,0.0,0,56,0.16361111111111112,0,1,56
57,0.0,0.0,0.0,0.0,0,57,0.14194444444444446,0,1,57
49,0.0,0.0,0.0,0.0,0,49,0.15888888888888889,0,1,49
63,0.0,0.0,0.0,0.0,0,63,0.14416666666666667,0,1,63
62,0.0,0.0,0.0,0.0,0,62,0.14666666666666667,0,1,62
67,0.0,0.0,0.0,0.0,0,67,0.1361111111111111,0,1,67
61,0.0,0.0,0.0,0.0,0,61,0.15,0,1,61
63,0.0,0.0,0.0,0.0,0,63,0.14416666666666667,0,1,63
61,0.0,0.0,0.0,0.0,0,61,0.15,0,1,61
64,0.0,0.0,0.0,0.0,0,64,0.14277777777777778,0,1,64
44,0.0,0.0,0.0,0.0,0,44,0.20805555555555555,0,1,44
61,0.0,0.0,0.0,0.0,0,61,0.15,0,1,61
58,0.0,0.0,0.0,0.0,0,58,0.15694444444444444,0,1,58
56,0.0,0.0,0.0,0.0,0,56,0.16361111111111112,0,1,56
60,0.0,0.0,0.0,0.0,0,60,0.1525,0,1,60
50,0.0,0.0,0.0,0.0,0,50,0.1836111111111111,0,1,50
53,0.0,0.0,0.0,0.0,0,53,0.15138888888888888,0,1,53
61,0.0,0.0,0.0,0.0,0,61,0.115,0,1,61
59,0.0,0.0,0.0,0.0,0,59,0.11972222222222222,0,1,59
54,0.0,0.0,0.0,0.0,0,54,0.16972222222222222,0,1,54
44,0.0,0.0,0.0,0.0,0,44,0.20416666666666666,0,1,44
62,0.0,0.0,0.0,0.0,0,62,0.13027777777777777,0,1,62
67,0.0,0.0,0.0,0.0,0,67,0.13666666666666666,0,1,67
68,0.0,0.0,0.0,0.0,0,68,0.13194444444444445,0,1,68
48,0.0,0.0,0.0,0.0,0,48,0.16944444444444445,0,1,48
53,0.0,0.0,0.0,0.0,0,53,0.19055555555555556,0,1,53
