General_Arrival rate1D,General_Finish rate1D,General_Num of unique resource1D,General_Process active time1D,General_Service time per case1D,General_Time in process per case1D,General_Waiting time in process per case1D,General_Num in process case1D,General_Num of unique activitis1D
180,180,2,183.89999999999998,0.38420542635658944,1.0691860465116279,0.6849806201550384,0,8
147,147,2,132.69999999999996,0.40113378684807255,0.9027210884353739,0.5015873015873014,0,8
160,160,2,161.15,0.41468750000000015,1.0071875000000001,0.5925,0,8
116,116,2,102.34999999999998,0.4541666666666669,0.8823275862068963,0.42816091954022945,0,8
94,94,2,84.16666666666664,0.5007092198581564,0.8953900709219855,0.3946808510638291,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
147,147,2,128.83333333333331,0.41723744292237464,0.8824200913242007,0.4651826484018261,0,8
117,117,2,101.33333333333337,0.4152421652421655,0.8660968660968664,0.4508547008547009,0,8
117,117,2,106.46666666666668,0.3878917378917382,0.9099715099715101,0.5220797720797719,0,8
117,117,2,106.1166666666667,0.41267806267806295,0.9069800569800572,0.4943019943019943,0,8
117,117,2,109.86666666666667,0.4029914529914534,0.9390313390313391,0.5360398860398856,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
117,117,2,108.55000000000004,0.42635327635327663,0.9277777777777781,0.5014245014245016,0,8
117,117,2,109.03333333333333,0.41125356125356166,0.9319088319088319,0.5206552706552703,0,8
117,117,2,109.49999999999997,0.41481481481481525,0.9358974358974357,0.5210826210826205,0,8
117,117,2,106.40000000000003,0.4188034188034188,0.9094017094017097,0.4905982905982909,0,8
117,117,2,103.86666666666667,0.38390313390313424,0.8877492877492879,0.5038461538461536,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
117,117,2,107.75000000000001,0.3753561253561257,0.9209401709401711,0.5455840455840454,0,8
117,117,2,102.14999999999998,0.4129629629629633,0.8730769230769229,0.46011396011395955,0,8
117,117,2,110.81666666666668,0.3807692307692312,0.9471509971509973,0.5663817663817661,0,8
117,117,2,104.26666666666672,0.40113960113960134,0.8911680911680916,0.49002849002849025,0,8
117,117,2,116.00000000000003,0.4118233618233624,0.9914529914529917,0.5796296296296293,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
117,117,2,106.31666666666665,0.40170940170940195,0.9086894586894585,0.5069800569800565,0,8
117,117,2,110.08333333333334,0.42578347578347614,0.940883190883191,0.5150997150997148,0,8
117,117,2,111.15000000000006,0.43603988603988625,0.9500000000000005,0.5139601139601142,0,8
117,117,2,106.6166666666667,0.4061253561253565,0.9112535612535616,0.5051282051282051,0,8
117,117,2,106.74999999999994,0.40954415954415985,0.9123931623931619,0.502849002849002,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
117,117,2,95.21666666666667,0.3962962962962966,0.8138176638176638,0.41752136752136726,0,8
117,117,2,106.88333333333335,0.4021367521367524,0.9135327635327637,0.5113960113960113,0,8
117,117,2,112.06666666666666,0.4205128205128207,0.9578347578347578,0.5373219373219371,0,8
117,117,2,116.91666666666671,0.40968660968660986,0.9992877492877497,0.5896011396011398,0,8
117,117,2,109.76666666666667,0.4163817663817667,0.9381766381766382,0.5217948717948715,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
117,117,2,108.76666666666674,0.3675213675213679,0.9296296296296302,0.5621082621082624,0,8
117,117,2,103.0833333333334,0.4131054131054134,0.8810541310541317,0.4679487179487183,0,8
117,117,2,106.31666666666668,0.4012820512820515,0.9086894586894588,0.5074074074074073,0,8
117,117,2,98.86666666666667,0.39515669515669566,0.845014245014245,0.4498575498575494,0,8
117,117,2,108.3333333333333,0.4099715099715102,0.9259259259259256,0.5159544159544154,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
117,117,2,108.33333333333336,0.4155270655270659,0.9259259259259262,0.5103988603988603,0,8
117,117,2,122.43333333333337,0.40854700854700887,1.0464387464387468,0.6378917378917379,0,8
117,117,2,106.13333333333334,0.41153846153846163,0.9071225071225072,0.49558404558404556,0,8
117,117,2,102.68333333333341,0.4064102564102568,0.8776353276353283,0.47122507122507146,0,8
117,117,2,108.88333333333328,0.43817663817663843,0.9306267806267802,0.49245014245014174,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
117,117,2,110.06666666666665,0.40142450142450187,0.9407407407407405,0.5393162393162387,0,8
117,117,2,112.11666666666669,0.402564102564103,0.9582621082621084,0.5556980056980054,0,8
117,117,2,100.43333333333335,0.40669515669515727,0.8584045584045585,0.45170940170940127,0,8
117,117,2,104.80000000000003,0.40441595441595485,0.895726495726496,0.49131054131054114,0,8
117,117,2,108.93333333333335,0.3930199430199433,0.9310541310541313,0.5380341880341879,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
117,117,2,105.19999999999997,0.41951566951566965,0.899145299145299,0.4796296296296293,0,8
117,117,2,111.43333333333337,0.42948717948717974,0.9524216524216527,0.5229344729344729,0,8
117,117,2,106.68333333333337,0.42378917378917386,0.9118233618233621,0.48803418803418824,0,8
117,117,2,113.15,0.4489942528735636,0.9754310344827587,0.526436781609195,0,8
118,118,2,108.6166666666667,0.41793785310734505,0.9204802259887008,0.5025423728813558,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
137,137,2,137.63333333333335,0.4644768856447686,1.0046228710462288,0.5401459854014603,0,8
83,83,2,75.71666666666667,0.45903614457831327,0.9122489959839357,0.45321285140562245,0,8
94,94,2,78.18333333333335,0.48067375886524843,0.8317375886524825,0.35106382978723405,0,8
147,147,2,147.53333333333327,0.4402968036529683,1.0105022831050223,0.570205479452054,0,8
117,117,2,105.2,0.395584045584046,0.8991452991452992,0.5035612535612533,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
117,117,2,107.05000000000005,0.3997150997151004,0.9149572649572654,0.515242165242165,0,8
117,117,2,104.53333333333335,0.4085470085470088,0.8934472934472936,0.48490028490028475,0,8
117,117,2,120.40000000000002,0.4149572649572654,1.0290598290598292,0.6141025641025637,0,8
117,117,2,118.66666666666664,0.39059829059829093,1.0142450142450141,0.6236467236467231,0,8
117,117,2,100.23333333333336,0.3990028490028493,0.856695156695157,0.4576923076923076,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
117,117,2,104.23333333333335,0.41638176638176666,0.890883190883191,0.47450142450142435,0,8
117,117,2,115.00000000000004,0.43262108262108284,0.9829059829059833,0.5502849002849004,0,8
117,117,2,110.6666666666667,0.41994301994302,0.9458689458689461,0.5259259259259261,0,8
117,117,2,102.53333333333335,0.4045584045584046,0.8763532763532764,0.47179487179487184,0,8
117,117,2,102.34999999999998,0.4105413105413108,0.8747863247863246,0.46424501424501374,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
117,117,2,99.9166666666667,0.40555555555555595,0.8539886039886043,0.4484330484330484,0,8
117,117,2,116.94999999999999,0.40940170940170995,0.9995726495726495,0.5901709401709395,0,8
117,117,2,114.85000000000005,0.4240740740740745,0.981623931623932,0.5575498575498575,0,8
117,117,2,107.23333333333332,0.39686609686609736,0.9165242165242165,0.5196581196581191,0,8
117,117,2,111.20000000000005,0.42564102564102596,0.9504273504273508,0.5247863247863249,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
117,117,2,120.20000000000002,0.3799145299145301,1.0273504273504275,0.6474358974358974,0,8
117,117,2,119.25000000000004,0.4200854700854703,1.0192307692307696,0.5991452991452992,0,8
117,117,2,100.58333333333334,0.40242165242165273,0.8596866096866098,0.4572649572649571,0,8
117,117,2,99.13333333333337,0.39487179487179513,0.8472934472934476,0.45242165242165244,0,8
117,117,2,110.30000000000004,0.41552706552706575,0.942735042735043,0.5272079772079773,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
117,117,2,112.16666666666667,0.4299145299145302,0.9586894586894588,0.5287749287749286,0,8
117,117,2,107.2666666666667,0.3984330484330487,0.916809116809117,0.5183760683760683,0,8
117,117,2,103.68333333333334,0.41307471264367857,0.8938218390804598,0.4807471264367812,0,8
118,118,2,113.51666666666667,0.39872881355932227,0.9620056497175141,0.5632768361581919,0,8
137,137,2,138.91666666666666,0.4523114355231148,1.0139902676399026,0.5616788321167878,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
83,83,2,78.3166666666667,0.45401606425702806,0.9435742971887555,0.48955823293172746,0,8
94,94,2,73.65000000000003,0.48741134751773074,0.7835106382978727,0.29609929078014197,0,8
147,147,2,135.8166666666667,0.4407534246575342,0.9302511415525115,0.48949771689497734,0,8
117,117,2,111.58333333333331,0.44444444444444453,0.9537037037037035,0.509259259259259,0,8
140,140,2,137.11666666666665,0.37583333333333335,0.9794047619047618,0.6035714285714284,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
202,202,2,192.65000000000003,0.38170940170940165,0.9879487179487181,0.6062393162393165,0,8
183,183,2,186.3833333333333,0.32755681818181803,1.058996212121212,0.731439393939394,0,8
214,214,2,210.01666666666668,0.34235104669887256,1.0145732689210951,0.6722222222222225,0,8
214,214,2,209.19999999999996,0.34927536231884065,1.0106280193236714,0.6613526570048307,0,8
84,84,2,79.03333333333336,0.4440476190476191,0.9408730158730162,0.4968253968253971,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
93,93,2,77.06666666666666,0.4897849462365593,0.828673835125448,0.3388888888888887,0,8
127,127,2,123.09999999999997,0.4037500000000002,1.0258333333333332,0.6220833333333329,0,8
159,159,2,150.59999999999997,0.3958071278825994,0.9471698113207545,0.5513626834381551,0,8
159,159,2,148.46666666666673,0.3658991228070172,0.9767543859649127,0.6108552631578955,0,8
170,170,2,171.4000000000001,0.3870370370370367,1.0580246913580253,0.6709876543209887,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
117,117,2,112.90000000000002,0.454700854700855,0.9649572649572651,0.5102564102564101,0,8
108,108,2,95.03333333333337,0.3976897689768978,0.9409240924092414,0.5432343234323436,0,8
159,159,2,165.14999999999995,0.4265199161425579,1.0386792452830185,0.6121593291404606,0,8
169,169,2,175.41666666666663,0.3895463510848131,1.0379684418145954,0.6484220907297822,0,8
203,203,2,202.60000000000005,0.37619047619047596,1.0336734693877554,0.6574829931972794,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
83,83,2,81.68333333333335,0.4190763052208837,0.9841365461847392,0.5650602409638555,0,8
84,84,2,68.05000000000001,0.5402777777777779,0.8101190476190477,0.2698412698412699,0,7
105,105,2,93.26666666666667,0.45952380952380995,0.8882539682539683,0.42873015873015835,0,8
116,116,2,117.0333333333334,0.45632183908045953,1.0089080459770121,0.5525862068965526,0,8
94,94,2,82.51666666666668,0.4991134751773049,0.8778368794326242,0.3787234042553193,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
116,116,2,119.85000000000007,0.44999999999999973,1.0331896551724145,0.5831896551724147,0,8
94,94,2,72.75000000000003,0.4774822695035462,0.7739361702127663,0.29645390070922006,0,8
147,147,2,154.55000000000007,0.44531963470319685,1.058561643835617,0.61324200913242,0,8
117,117,2,106.53333333333336,0.4390313390313394,0.9105413105413108,0.4715099715099714,0,8
140,140,2,132.2333333333333,0.38154761904761914,0.9445238095238092,0.5629761904761901,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
202,202,2,190.21666666666664,0.3680341880341875,0.9754700854700853,0.6074358974358978,0,8
183,183,2,179.76666666666668,0.3396780303030304,1.0214015151515152,0.6817234848484848,0,8
214,214,2,221.49999999999991,0.3371980676328505,1.0700483091787436,0.7328502415458931,0,8
214,214,2,208.59999999999994,0.3297101449275358,1.0077294685990335,0.6780193236714976,0,8
84,84,2,86.39999999999998,0.46289682539682564,1.0285714285714282,0.5656746031746026,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
93,93,2,75.5,0.48566308243727635,0.8118279569892473,0.3261648745519709,0,8
127,127,2,112.4833333333333,0.3845833333333336,0.9373611111111109,0.5527777777777773,0,8
159,159,2,153.91666666666674,0.41792452830188664,0.9680293501048223,0.5501048218029356,0,8
159,159,2,147.08333333333334,0.36491228070175447,0.9676535087719299,0.6027412280701754,0,8
170,170,2,172.36666666666673,0.3954732510288065,1.0639917695473255,0.6685185185185191,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
117,117,2,101.03333333333339,0.44501424501424497,0.863532763532764,0.418518518518519,0,8
108,108,2,91.40000000000002,0.4084158415841585,0.9049504950495052,0.4965346534653467,0,8
159,159,2,143.06666666666672,0.4088050314465405,0.8997903563941303,0.4909853249475898,0,8
169,169,2,169.4,0.39398422090729773,1.0023668639053254,0.6083826429980277,0,8
203,203,2,202.75000000000006,0.3574829931972793,1.0344387755102045,0.6769557823129252,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
83,83,2,80.09999999999997,0.4580321285140562,0.965060240963855,0.5070281124497988,0,8
84,84,2,65.23333333333335,0.5259920634920638,0.7765873015873017,0.25059523809523787,0,7
105,105,2,94.31666666666669,0.48238095238095263,0.8982539682539685,0.4158730158730159,0,8
116,116,2,119.06666666666673,0.4607758620689653,1.026436781609196,0.5656609195402307,0,8
94,94,2,87.66666666666666,0.45567375886524863,0.9326241134751772,0.4769503546099285,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
116,116,2,113.30000000000007,0.44899425287356337,0.9767241379310351,0.5277298850574716,0,8
84,84,2,68.95000000000002,0.5476190476190476,0.8208333333333335,0.27321428571428596,0,7
105,105,2,96.05000000000004,0.4792063492063494,0.9147619047619051,0.4355555555555557,0,8
116,116,2,119.11666666666675,0.4689655172413794,1.0268678160919547,0.5579022988505753,0,8
94,94,2,80.53333333333332,0.4904255319148937,0.8567375886524821,0.3663120567375884,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
116,116,2,120.18333333333337,0.4558908045977011,1.036063218390805,0.5801724137931039,0,8
94,94,2,80.35,0.48989361702127665,0.8547872340425531,0.36489361702127643,0,8
147,147,2,139.2666666666666,0.42933789954337914,0.9538812785388123,0.5245433789954332,0,8
117,117,2,107.46666666666667,0.40854700854700887,0.9185185185185185,0.5099715099715096,0,8
117,117,2,102.74999999999999,0.4158119658119661,0.8782051282051281,0.46239316239316197,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
117,117,2,104.81666666666669,0.4138176638176641,0.895868945868946,0.48205128205128195,0,8
117,117,2,103.93333333333335,0.3821937321937327,0.8883190883190885,0.5061253561253558,0,8
117,117,2,116.80000000000004,0.4158119658119662,0.9982905982905986,0.5824786324786324,0,8
117,117,2,104.55,0.39259259259259294,0.8935897435897435,0.5009971509971506,0,8
117,117,2,103.36666666666669,0.3981481481481486,0.8834757834757837,0.4853276353276351,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
117,117,2,113.36666666666667,0.4239316239316241,0.968945868945869,0.5450142450142449,0,8
117,117,2,115.85000000000008,0.4307692307692308,0.9901709401709409,0.5594017094017101,0,8
117,117,2,100.90000000000002,0.41367521367521387,0.8623931623931625,0.4487179487179487,0,8
117,117,2,102.65,0.386609686609687,0.8773504273504275,0.4907407407407405,0,8
117,117,2,100.78333333333336,0.3786324786324788,0.8613960113960116,0.48276353276353284,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
117,117,2,108.75,0.39757834757834776,0.9294871794871795,0.5319088319088318,0,8
117,117,2,112.04999999999998,0.41054131054131093,0.9576923076923075,0.5471509971509966,0,8
117,117,2,109.94999999999997,0.40897435897435924,0.9397435897435895,0.5307692307692302,0,8
117,117,2,104.33333333333331,0.40811965811965856,0.8917378917378915,0.483618233618233,0,8
117,117,2,111.40000000000003,0.3984330484330487,0.9521367521367524,0.5537037037037037,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
117,117,2,108.70000000000002,0.4263532763532764,0.9290598290598292,0.5027065527065528,0,8
117,117,2,115.15000000000002,0.41880341880341904,0.9841880341880344,0.5653846153846154,0,8
117,117,2,99.95000000000002,0.400712250712251,0.8542735042735045,0.4535612535612535,0,8
117,117,2,99.88333333333334,0.40584045584045586,0.8537037037037037,0.4478632478632479,0,8
117,117,2,107.43333333333332,0.4163817663817667,0.9182336182336182,0.5018518518518514,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
117,117,2,107.38333333333335,0.4266381766381768,0.917806267806268,0.4911680911680911,0,8
117,117,2,102.76666666666664,0.4202279202279204,0.8783475783475782,0.45811965811965777,0,8
117,117,2,103.98333333333335,0.40598290598290626,0.8887464387464389,0.4827635327635326,0,8
117,117,2,108.06666666666666,0.41452991452991483,0.9236467236467236,0.5091168091168088,0,8
117,117,2,111.63333333333335,0.4290598290598294,0.9541310541310543,0.5250712250712248,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
117,117,2,113.28333333333339,0.43803418803418814,0.9682336182336188,0.5301994301994306,0,8
117,117,2,106.76666666666671,0.44956896551724157,0.9204022988505751,0.47083333333333355,0,8
118,118,2,112.13333333333335,0.3981638418079099,0.9502824858757064,0.5521186440677965,0,8
137,137,2,137.51666666666668,0.454257907542579,1.0037712895377129,0.5495133819951339,0,8
83,83,2,77.14999999999999,0.46064257028112476,0.9295180722891565,0.46887550200803174,0,8
0,0,0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0
94,94,2,84.03333333333332,0.48262411347517736,0.8939716312056736,0.4113475177304962,0,8
147,147,2,141.05000000000007,0.4382420091324202,0.9660958904109593,0.5278538812785392,0,8
69,69,2,43.883333333333304,0.3463768115942031,0.6359903381642508,0.2896135265700477,0,8
