act_ProcessNextCarReq_avg_arrival,act_ProcessNextCarReq_avg_duration,act_ProcessNextCarReq_whole_duration,act_ProcessNextCarReq_avgwaiting_time,act_ProcessNextCarReq_wholewaiting_time,act_ProcessNextCarReq_waiting_events,act_ProcessNextCarReq_finished_events,act_ProcessNextCarReq_idle_time,act_ProcessNextCarReq_inprocess_events,act_ProcessNextCarReq_unique_resources,act_ProcessNextCarReq_engaged_resources
78,0.3277777777777778,1.5833333333333333,0.8072649572649573,62.96666666666667,72,78,23.786944444444444,0,1,78
77,0.3372222222222222,1.9833333333333334,0.7448051948051948,57.35,67,77,23.788055555555555,0,1,77
80,0.33416666666666667,2.75,0.6804166666666667,54.43333333333334,74,80,23.781666666666666,0,1,80
53,0.3625,19.216666666666665,0.5257861635220126,27.866666666666667,41,53,23.81111111111111,0,1,53
51,0.3597222222222222,18.35,0.49052287581699344,25.016666666666666,41,51,23.849444444444444,0,1,51
78,0.34444444444444444,2.8833333333333333,0.6222222222222222,48.53333333333333,69,78,23.780277777777776,0,1,78
56,0.34305555555555556,19.216666666666665,0.6607142857142857,37.0,49,56,23.83361111111111,0,1,56
62,0.3413888888888889,21.166666666666668,0.6774193548387096,42.0,53,62,23.82611111111111,0,1,62
58,0.3386111111111111,19.65,0.7620689655172415,44.2,50,58,23.8125,0,1,58
61,0.3497222222222222,21.333333333333332,0.6114754098360656,37.300000000000004,51,61,23.813055555555554,0,1,61
56,0.3461111111111111,19.383333333333333,0.6116071428571429,34.25,48,56,23.810833333333335,0,1,56
64,0.3386111111111111,21.683333333333334,0.7497395833333333,47.983333333333334,55,64,23.816111111111113,0,1,64
61,0.3363888888888889,20.533333333333335,0.8740437158469947,53.31666666666668,53,61,23.808333333333334,0,1,61
58,0.34,19.733333333333334,0.714367816091954,41.43333333333333,51,58,23.82638888888889,0,1,58
64,0.33694444444444444,21.566666666666666,0.7963541666666666,50.96666666666666,55,64,23.82111111111111,0,1,64
66,0.33694444444444444,22.25,0.9565656565656564,63.133333333333326,58,66,23.798055555555557,0,1,66
56,0.355,19.883333333333333,0.5324404761904763,29.81666666666667,48,56,23.804166666666667,0,1,56
69,0.3313888888888889,22.866666666666667,0.9439613526570048,65.13333333333333,61,69,23.81111111111111,0,1,69
63,0.33361111111111114,21.033333333333335,0.7952380952380952,50.099999999999994,56,63,23.79277777777778,0,1,63
61,0.3463888888888889,21.133333333333333,0.6292349726775958,38.38333333333334,51,61,23.819166666666668,0,1,61
58,0.3438888888888889,19.95,0.7086206896551726,41.10000000000001,48,58,23.823888888888888,0,1,58
51,0.365,18.616666666666667,0.44183006535947716,22.533333333333335,40,51,23.825277777777778,0,1,51
55,0.3416666666666667,18.8,0.733939393939394,40.36666666666667,47,55,23.831666666666667,0,1,55
59,0.3413888888888889,20.15,0.6836158192090396,40.333333333333336,51,59,23.825555555555557,0,1,59
60,0.3438888888888889,20.633333333333333,0.6855555555555555,41.133333333333326,51,60,23.820833333333333,0,1,60
57,0.34444444444444444,19.633333333333333,0.6997076023391812,39.883333333333326,48,57,23.82777777777778,0,1,57
60,0.33611111111111114,20.166666666666668,0.8702777777777778,52.21666666666667,52,60,23.823611111111113,0,1,60
61,0.3402777777777778,20.766666666666666,0.8265027322404371,50.416666666666664,52,61,23.817222222222224,0,1,61
62,0.335,20.783333333333335,0.931989247311828,57.78333333333333,54,62,23.81861111111111,0,1,62
62,0.3352777777777778,20.8,0.8026881720430107,49.766666666666666,54,62,23.829444444444444,0,1,62
67,0.3333333333333333,22.333333333333332,0.9114427860696517,61.06666666666666,58,67,23.802777777777777,0,1,67
58,0.34305555555555556,19.9,0.6841954022988506,39.68333333333333,50,58,23.807222222222222,0,1,58
63,0.3427777777777778,21.6,0.6849206349206349,43.15,54,63,23.814166666666665,0,1,63
60,0.3486111111111111,20.916666666666668,0.6086111111111111,36.516666666666666,50,60,23.815277777777776,0,1,60
58,0.33944444444444444,19.7,0.7387931034482759,42.85,50,58,23.815555555555555,0,1,58
55,0.35333333333333333,19.433333333333334,0.5324242424242425,29.283333333333335,46,55,23.825833333333332,0,1,55
67,0.33416666666666667,22.4,1.0119402985074624,67.79999999999998,59,67,23.809444444444445,0,1,67
55,0.3461111111111111,19.05,0.6851515151515154,37.683333333333344,46,55,23.83,0,1,55
60,0.3408333333333333,20.45,0.6808333333333333,40.849999999999994,52,60,23.823888888888888,0,1,60
53,0.3411111111111111,18.083333333333332,0.6723270440251572,35.63333333333333,47,53,23.8,0,1,53
65,0.32722222222222225,21.283333333333335,0.9610256410256409,62.46666666666666,59,65,23.795,0,1,65
65,0.33111111111111113,21.533333333333335,0.8725641025641026,56.71666666666667,59,65,23.790277777777778,0,1,65
58,0.35388888888888886,20.533333333333335,0.5390804597701149,31.266666666666666,48,58,23.815277777777776,0,1,58
62,0.33611111111111114,20.85,0.7795698924731184,48.333333333333336,55,62,23.807222222222222,0,1,62
65,0.3397222222222222,22.083333333333332,0.8828205128205128,57.38333333333333,55,65,23.81222222222222,0,1,65
50,0.3502777777777778,17.516666666666666,0.5539999999999999,27.7,42,50,23.81888888888889,0,1,50
51,0.3522222222222222,17.966666666666665,0.5774509803921569,29.450000000000003,44,51,23.817777777777778,0,1,51
51,0.35638888888888887,18.183333333333334,0.5316993464052288,27.116666666666667,43,51,23.81361111111111,0,1,51
57,0.3591666666666667,20.483333333333334,0.5052631578947367,28.799999999999997,45,57,23.814444444444444,0,1,57
61,0.3425,20.9,0.7306010928961749,44.56666666666667,52,61,23.801111111111112,0,1,61
78,0.33666666666666667,2.2666666666666666,0.7102564102564103,55.4,72,78,23.78611111111111,0,1,78
44,0.35694444444444445,15.716666666666667,0.571590909090909,25.15,35,44,23.829722222222223,0,1,44
55,0.3586111111111111,19.733333333333334,0.5303030303030303,29.166666666666668,44,55,23.840555555555557,0,1,55
81,0.3397222222222222,3.533333333333333,0.6574074074074074,53.25,73,81,23.780833333333334,0,1,81
63,0.3416666666666667,21.533333333333335,0.7132275132275133,44.93333333333334,54,63,23.814444444444444,0,1,63
63,0.33805555555555555,21.3,0.7044973544973544,44.383333333333326,55,63,23.80611111111111,0,1,63
54,0.35444444444444445,19.15,0.5496913580246914,29.683333333333334,43,54,23.82777777777778,0,1,54
66,0.3402777777777778,22.466666666666665,0.7537878787878788,49.75,56,66,23.809444444444445,0,1,66
66,0.32916666666666666,21.733333333333334,1.1323232323232322,74.73333333333332,59,66,23.803333333333335,0,1,66
61,0.33666666666666667,20.55,0.7685792349726777,46.88333333333334,53,61,23.807777777777776,0,1,61
56,0.3427777777777778,19.2,0.6318452380952381,35.38333333333333,49,56,23.795833333333334,0,1,56
54,0.3488888888888889,18.85,0.6111111111111112,33.0,45,54,23.831666666666667,0,1,54
55,0.3425,18.85,0.8278787878787879,45.53333333333333,45,55,23.81111111111111,0,1,55
56,0.34944444444444445,19.583333333333332,0.6684523809523809,37.43333333333333,46,56,23.820833333333333,0,1,56
54,0.35583333333333333,19.216666666666665,0.5009259259259258,27.049999999999994,45,54,23.808055555555555,0,1,54
55,0.34944444444444445,19.233333333333334,0.6139393939393939,33.766666666666666,45,55,23.813055555555554,0,1,55
66,0.33194444444444443,21.916666666666668,0.853030303030303,56.3,59,66,23.819166666666668,0,1,66
58,0.3383333333333333,19.633333333333333,0.6885057471264368,39.93333333333333,51,58,23.8325,0,1,58
66,0.3375,22.283333333333335,0.8113636363636363,53.55,57,66,23.815277777777776,0,1,66
56,0.3511111111111111,19.666666666666668,0.6244047619047619,34.96666666666667,47,56,23.81888888888889,0,1,56
65,0.3275,21.3,1.185897435897436,77.08333333333333,58,65,23.81888888888889,0,1,65
57,0.33944444444444444,19.35,0.7280701754385965,41.5,49,57,23.838333333333335,0,1,57
58,0.3511111111111111,20.366666666666667,0.6178160919540229,35.83333333333333,49,58,23.80027777777778,0,1,58
60,0.3472222222222222,20.833333333333332,0.6313888888888889,37.88333333333333,51,60,23.816944444444445,0,1,60
60,0.34194444444444444,20.516666666666666,0.7741666666666667,46.45,51,60,23.819166666666668,0,1,60
56,0.3511111111111111,19.666666666666668,0.5726190476190477,32.06666666666667,47,56,23.822777777777777,0,1,56
58,0.3466666666666667,20.116666666666667,0.5844827586206895,33.89999999999999,50,58,23.811666666666667,0,1,58
71,0.3447222222222222,0.48333333333333334,0.7089201877934271,50.33333333333333,60,71,23.794722222222223,0,1,71
68,0.3358333333333333,22.85,0.7946078431372549,54.03333333333333,60,68,23.813055555555554,0,1,68
75,0.3416666666666667,1.6333333333333333,0.6257777777777779,46.93333333333334,66,75,23.789166666666667,0,1,75
49,0.3433333333333333,16.833333333333332,0.732312925170068,35.88333333333333,41,49,23.825,0,1,49
50,0.36333333333333334,18.166666666666668,0.436,21.8,40,50,23.85361111111111,0,1,50
74,0.3433333333333333,1.4166666666666667,0.6621621621621621,48.99999999999999,65,74,23.783333333333335,0,1,74
64,0.3502777777777778,22.433333333333334,0.7132812500000001,45.650000000000006,54,64,23.78361111111111,0,1,64
72,0.3283333333333333,23.65,0.9141203703703703,65.81666666666666,66,72,23.802777777777777,0,1,72
84,0.3436111111111111,4.866666666666666,0.6984126984126984,58.666666666666664,74,84,23.787777777777777,0,1,84
86,0.3111111111111111,2.7666666666666666,1.281782945736434,110.23333333333332,82,86,23.80361111111111,0,1,86
99,0.31194444444444447,6.883333333333334,1.0008417508417509,99.08333333333334,96,99,23.791666666666668,0,1,99
95,0.3244444444444444,6.833333333333333,0.7694736842105263,73.1,92,95,23.78361111111111,0,1,95
49,0.34805555555555556,17.066666666666666,0.6731292517006803,32.983333333333334,40,49,23.841666666666665,0,1,49
49,0.36972222222222223,18.116666666666667,0.5323129251700681,26.083333333333336,38,49,23.851666666666667,0,1,49
59,0.3438888888888889,20.3,0.7161016949152542,42.25,50,59,23.827222222222222,0,1,59
78,0.33555555555555555,2.183333333333333,0.6854700854700855,53.46666666666667,71,78,23.783055555555556,0,1,78
78,0.33111111111111113,1.8333333333333333,0.857051282051282,66.85,70,78,23.81277777777778,0,1,78
73,0.3397222222222222,0.8166666666666667,0.8333333333333335,60.83333333333334,63,73,23.801388888888887,0,1,73
50,0.3572222222222222,17.866666666666667,0.5573333333333332,27.866666666666664,41,50,23.7975,0,1,50
55,0.3477777777777778,19.133333333333333,0.7496969696969698,41.233333333333334,44,55,23.822222222222223,0,1,55
76,0.3472222222222222,2.4,0.6160087719298246,46.81666666666667,66,76,23.794722222222223,0,1,76
72,0.34944444444444445,1.1666666666666667,0.5395833333333333,38.849999999999994,62,72,23.7825,0,1,72
80,0.3325,2.6,0.8502083333333335,68.01666666666668,73,80,23.801666666666666,0,1,80
56,0.3375,18.9,0.8648809523809524,48.43333333333334,49,56,23.828333333333333,0,1,56
47,0.38555555555555554,18.133333333333333,0.30460992907801415,14.316666666666665,32,47,23.841944444444444,0,1,47
62,0.35194444444444445,21.833333333333332,0.5983870967741934,37.099999999999994,52,62,23.80638888888889,0,1,62
61,0.34444444444444444,21.016666666666666,0.6322404371584699,38.56666666666666,52,61,23.806944444444444,0,1,61
43,0.3775,16.233333333333334,0.36279069767441857,15.6,31,43,23.865,0,1,43
69,0.3338888888888889,23.05,0.7772946859903381,53.63333333333333,61,69,23.799166666666668,0,1,69
50,0.36944444444444446,18.483333333333334,0.3983333333333334,19.916666666666668,38,50,23.844444444444445,0,1,50
63,0.36666666666666664,23.116666666666667,0.4058201058201058,25.566666666666666,50,63,23.784444444444443,0,1,63
56,0.35694444444444445,20.0,0.5279761904761905,29.566666666666666,45,56,23.819444444444443,0,1,56
66,0.33694444444444444,22.25,0.7553030303030303,49.849999999999994,57,66,23.809166666666666,0,1,66
97,0.33,8.016666666666667,0.9316151202749142,90.36666666666667,88,97,23.7875,0,1,97
79,0.3175,1.1,1.0729957805907173,84.76666666666667,73,79,23.808888888888887,0,1,79
94,0.3194444444444444,6.033333333333333,0.9058510638297874,85.15000000000002,90,94,23.787222222222223,0,1,94
107,0.30777777777777776,8.933333333333334,1.2428348909657319,132.98333333333332,104,107,23.794722222222223,0,1,107
48,0.35194444444444445,16.9,0.71875,34.5,38,48,23.84111111111111,0,1,48
50,0.36527777777777776,18.266666666666666,0.4713333333333333,23.566666666666666,40,50,23.85611111111111,0,1,50
64,0.3377777777777778,21.633333333333333,0.7510416666666667,48.06666666666667,55,64,23.82027777777778,0,1,64
76,0.3377777777777778,1.6833333333333333,0.656578947368421,49.9,70,76,23.786944444444444,0,1,76
73,0.3427777777777778,1.0333333333333334,0.6518264840182648,47.583333333333336,63,73,23.808333333333334,0,1,73
81,0.3269444444444444,2.5,0.8524691358024691,69.05,74,81,23.797777777777778,0,1,81
57,0.3536111111111111,20.166666666666668,0.6108187134502925,34.81666666666667,47,57,23.814722222222223,0,1,57
50,0.34194444444444444,17.1,0.7553333333333333,37.766666666666666,43,50,23.821666666666665,0,1,50
77,0.3377777777777778,2.0166666666666666,0.7651515151515151,58.916666666666664,68,77,23.7975,0,1,77
84,0.3283333333333333,3.6,0.8077380952380951,67.85,79,84,23.781388888888888,0,1,84
88,0.33444444444444443,5.433333333333334,0.6941287878787878,61.08333333333333,81,88,23.786666666666665,0,1,88
50,0.3491666666666667,17.466666666666665,0.7156666666666667,35.78333333333333,40,50,23.836666666666666,0,1,50
52,0.3688888888888889,19.183333333333334,0.39487179487179486,20.53333333333333,40,52,23.836666666666666,0,1,52
55,0.35777777777777775,19.683333333333334,0.5321212121212121,29.266666666666666,45,55,23.82027777777778,0,1,55
65,0.3377777777777778,21.966666666666665,0.7171794871794872,46.61666666666667,59,65,23.785555555555554,0,1,65
62,0.3433333333333333,21.3,0.7513440860215053,46.58333333333333,53,62,23.83388888888889,0,1,62
58,0.3547222222222222,20.583333333333332,0.5370689655172414,31.150000000000002,48,58,23.804166666666667,0,1,58
47,0.37472222222222223,17.616666666666667,0.4347517730496454,20.433333333333334,35,47,23.848055555555554,0,1,47
54,0.36194444444444446,19.55,0.4614197530864197,24.916666666666664,43,54,23.821944444444444,0,1,54
54,0.35055555555555556,18.933333333333334,0.5268518518518518,28.45,47,54,23.801666666666666,0,1,54
49,0.37333333333333335,18.3,0.3792517006802721,18.583333333333332,37,49,23.844444444444445,0,1,49
62,0.33694444444444444,20.9,0.7153225806451614,44.35000000000001,55,62,23.8125,0,1,62
53,0.3661111111111111,19.416666666666668,0.5025157232704403,26.633333333333333,42,53,23.831666666666667,0,1,53
73,0.3461111111111111,1.2833333333333334,0.5833333333333333,42.58333333333333,64,73,23.788333333333334,0,1,73
58,0.3502777777777778,20.316666666666666,0.6232758620689655,36.15,49,58,23.81972222222222,0,1,58
53,0.3463888888888889,18.366666666666667,0.6371069182389937,33.766666666666666,46,53,23.801111111111112,0,1,53
55,0.3427777777777778,18.866666666666667,0.7112121212121213,39.116666666666674,47,55,23.816944444444445,0,1,55
66,0.3327777777777778,21.966666666666665,0.8404040404040404,55.46666666666666,59,66,23.8175,0,1,66
67,0.33555555555555555,22.5,0.9017412935323382,60.416666666666664,58,67,23.808611111111112,0,1,67
62,0.34,21.083333333333332,0.7540322580645162,46.75000000000001,53,62,23.822777777777777,0,1,62
63,0.3383333333333333,21.316666666666666,0.7447089947089948,46.91666666666667,55,63,23.817777777777778,0,1,63
56,0.35055555555555556,19.633333333333333,0.6232142857142857,34.9,47,56,23.82111111111111,0,1,56
57,0.33805555555555555,19.283333333333335,0.8687134502923975,49.51666666666666,50,57,23.813333333333333,0,1,57
49,0.3522222222222222,17.266666666666666,0.5642857142857143,27.65,41,49,23.816111111111113,0,1,49
63,0.33416666666666667,21.066666666666666,0.8584656084656082,54.083333333333314,55,63,23.820833333333333,0,1,63
62,0.34444444444444444,21.366666666666667,0.6126344086021506,37.983333333333334,53,62,23.8225,0,1,62
67,0.3333333333333333,22.333333333333332,0.879353233830846,58.91666666666668,59,67,23.8175,0,1,67
61,0.3383333333333333,20.65,0.6868852459016395,41.900000000000006,53,61,23.8275,0,1,61
63,0.3383333333333333,21.316666666666666,0.7669312169312169,48.31666666666666,54,63,23.81888888888889,0,1,63
61,0.33555555555555555,20.483333333333334,0.7967213114754099,48.60000000000001,54,61,23.826666666666668,0,1,61
64,0.33305555555555555,21.316666666666666,0.8859375,56.7,56,64,23.825833333333332,0,1,64
44,0.3736111111111111,16.45,0.3943181818181818,17.349999999999998,34,44,23.843333333333334,0,1,44
61,0.33611111111111114,20.516666666666666,0.8371584699453551,51.06666666666666,54,61,23.82027777777778,0,1,61
58,0.3488888888888889,20.25,0.6250000000000001,36.25000000000001,49,58,23.8175,0,1,58
56,0.35333333333333333,19.8,0.5675595238095238,31.78333333333333,47,56,23.81861111111111,0,1,56
60,0.33944444444444444,20.366666666666667,0.6755555555555557,40.53333333333334,53,60,23.825277777777778,0,1,60
50,0.3552777777777778,17.766666666666666,0.5053333333333334,25.26666666666667,40,50,23.835833333333333,0,1,50
53,0.3447222222222222,18.283333333333335,0.6138364779874214,32.53333333333333,46,53,23.818055555555556,0,1,53
61,0.33555555555555555,20.483333333333334,0.7601092896174864,46.36666666666667,54,61,23.79277777777778,0,1,61
59,0.335,19.766666666666666,0.7268361581920904,42.88333333333333,53,59,23.803055555555556,0,1,59
54,0.3472222222222222,18.75,0.6021604938271605,32.516666666666666,46,54,23.831944444444446,0,1,54
44,0.3680555555555556,16.2,0.4151515151515152,18.26666666666667,34,44,23.848055555555554,0,1,44
62,0.34833333333333333,21.6,0.7115591397849461,44.11666666666666,53,62,23.789722222222224,0,1,62
67,0.3338888888888889,22.383333333333333,0.9283582089552239,62.2,59,67,23.816388888888888,0,1,67
68,0.34833333333333333,23.7,0.6269607843137255,42.63333333333333,58,68,23.795277777777777,0,1,68
48,0.3452777777777778,16.583333333333332,0.6982638888888889,33.516666666666666,40,48,23.82638888888889,0,1,48
53,0.3661111111111111,19.416666666666668,0.4279874213836478,22.683333333333334,41,53,23.84,0,1,53
