act_RejectCall_avg_arrival,act_RejectCall_avg_duration,act_RejectCall_whole_duration,act_RejectCall_avgwaiting_time,act_RejectCall_wholewaiting_time,act_RejectCall_waiting_events,act_RejectCall_finished_events,act_RejectCall_idle_time,act_RejectCall_inprocess_events,act_RejectCall_unique_resources,act_RejectCall_engaged_resources
39,0.0,0.0,0.0,0.0,0,39,0.13722222222222222,0,2,39
23,0.0,0.0,0.0,0.0,0,23,0.10888888888888888,0,2,23
21,0.0,0.0,0.0,0.0,0,21,0.11916666666666667,0,2,21
16,0.0,0.0,0.0,0.0,0,16,0.28,0,2,16
4,0.0,0.0,0.0,0.0,0,4,0.03888888888888889,0,2,4
20,0.0,0.0,0.0,0.0,0,20,0.18138888888888888,0,2,20
20,0.0,0.0,0.0,0.0,0,20,0.12166666666666667,0,2,20
20,0.0,0.0,0.0,0.0,0,20,0.12166666666666667,0,2,20
19,0.0,0.0,0.0,0.0,0,19,0.12666666666666668,0,2,19
18,0.0,0.0,0.0,0.0,0,18,0.1272222222222222,0,2,18
17,0.0,0.0,0.0,0.0,0,17,0.14472222222222222,0,2,17
16,0.0,0.0,0.0,0.0,0,16,0.15222222222222223,0,2,16
18,0.0,0.0,0.0,0.0,0,18,0.12833333333333333,0,2,18
18,0.0,0.0,0.0,0.0,0,18,0.1361111111111111,0,2,18
21,0.0,0.0,0.0,0.0,0,21,0.10833333333333334,0,2,21
23,0.0,0.0,0.0,0.0,0,23,0.10222222222222223,0,2,23
20,0.0,0.0,0.0,0.0,0,20,0.12083333333333333,0,2,20
20,0.0,0.0,0.0,0.0,0,20,0.12,0,2,20
19,0.0,0.0,0.0,0.0,0,19,0.12861111111111112,0,2,19
16,0.0,0.0,0.0,0.0,0,16,0.15222222222222223,0,2,16
20,0.0,0.0,0.0,0.0,0,20,0.11222222222222222,0,2,20
20,0.0,0.0,0.0,0.0,0,20,0.11833333333333333,0,2,20
16,0.0,0.0,0.0,0.0,0,16,0.14333333333333334,0,2,16
19,0.0,0.0,0.0,0.0,0,19,0.12583333333333332,0,2,19
18,0.0,0.0,0.0,0.0,0,18,0.13527777777777777,0,2,18
23,0.0,0.0,0.0,0.0,0,23,0.10444444444444445,0,2,23
20,0.0,0.0,0.0,0.0,0,20,0.1175,0,2,20
16,0.0,0.0,0.0,0.0,0,16,0.15444444444444444,0,2,16
17,0.0,0.0,0.0,0.0,0,17,0.14472222222222222,0,2,17
17,0.0,0.0,0.0,0.0,0,17,0.14166666666666666,0,2,17
22,0.0,0.0,0.0,0.0,0,22,0.10472222222222222,0,2,22
19,0.0,0.0,0.0,0.0,0,19,0.12861111111111112,0,2,19
18,0.0,0.0,0.0,0.0,0,18,0.12638888888888888,0,2,18
21,0.0,0.0,0.0,0.0,0,21,0.11416666666666667,0,2,21
19,0.0,0.0,0.0,0.0,0,19,0.125,0,2,19
19,0.0,0.0,0.0,0.0,0,19,0.12777777777777777,0,2,19
15,0.0,0.0,0.0,0.0,0,15,0.16666666666666666,0,2,15
20,0.0,0.0,0.0,0.0,0,20,0.11666666666666667,0,2,20
19,0.0,0.0,0.0,0.0,0,19,0.12666666666666668,0,2,19
17,0.0,0.0,0.0,0.0,0,17,0.13833333333333334,0,2,17
19,0.0,0.0,0.0,0.0,0,19,0.12222222222222222,0,2,19
17,0.0,0.0,0.0,0.0,0,17,0.14583333333333334,0,2,17
20,0.0,0.0,0.0,0.0,0,20,0.11555555555555555,0,2,20
19,0.0,0.0,0.0,0.0,0,19,0.12861111111111112,0,2,19
20,0.0,0.0,0.0,0.0,0,20,0.11916666666666667,0,2,20
21,0.0,0.0,0.0,0.0,0,21,0.11166666666666666,0,2,21
19,0.0,0.0,0.0,0.0,0,19,0.12861111111111112,0,2,19
20,0.0,0.0,0.0,0.0,0,20,0.1175,0,2,20
12,0.0,0.0,0.0,0.0,0,12,0.3,0,2,12
17,0.0,0.0,0.0,0.0,0,17,0.14055555555555554,0,2,17
6,0.0,0.0,0.0,0.0,0,6,0.08,0,2,6
8,0.0,0.0,0.0,0.0,0,8,0.03805555555555556,0,2,8
6,0.0,0.0,0.0,0.0,0,6,0.06333333333333334,0,1,6
12,0.0,0.0,0.0,0.0,0,12,0.3075,0,2,12
19,0.0,0.0,0.0,0.0,0,19,0.12861111111111112,0,2,19
18,0.0,0.0,0.0,0.0,0,18,0.1361111111111111,0,2,18
21,0.0,0.0,0.0,0.0,0,21,0.11583333333333333,0,2,21
13,0.0,0.0,0.0,0.0,0,13,0.19305555555555556,0,2,13
21,0.0,0.0,0.0,0.0,0,21,0.11833333333333333,0,2,21
21,0.0,0.0,0.0,0.0,0,21,0.11333333333333333,0,2,21
19,0.0,0.0,0.0,0.0,0,19,0.12583333333333332,0,2,19
16,0.0,0.0,0.0,0.0,0,16,0.1388888888888889,0,2,16
19,0.0,0.0,0.0,0.0,0,19,0.12222222222222222,0,2,19
21,0.0,0.0,0.0,0.0,0,21,0.115,0,2,21
21,0.0,0.0,0.0,0.0,0,21,0.11083333333333334,0,2,21
22,0.0,0.0,0.0,0.0,0,22,0.10944444444444444,0,2,22
15,0.0,0.0,0.0,0.0,0,15,0.16416666666666666,0,2,15
16,0.0,0.0,0.0,0.0,0,16,0.14444444444444443,0,2,16
18,0.0,0.0,0.0,0.0,0,18,0.1361111111111111,0,2,18
17,0.0,0.0,0.0,0.0,0,17,0.14055555555555554,0,2,17
23,0.0,0.0,0.0,0.0,0,23,0.10277777777777777,0,2,23
17,0.0,0.0,0.0,0.0,0,17,0.1363888888888889,0,2,17
21,0.0,0.0,0.0,0.0,0,21,0.11166666666666666,0,2,21
21,0.0,0.0,0.0,0.0,0,21,0.10833333333333334,0,2,21
17,0.0,0.0,0.0,0.0,0,17,0.14166666666666666,0,2,17
16,0.0,0.0,0.0,0.0,0,16,0.14888888888888888,0,2,16
21,0.0,0.0,0.0,0.0,0,21,0.11416666666666667,0,2,21
14,0.0,0.0,0.0,0.0,0,14,0.2536111111111111,0,2,14
17,0.0,0.0,0.0,0.0,0,17,0.13944444444444445,0,2,17
9,0.0,0.0,0.0,0.0,0,9,0.041666666666666664,0,2,9
6,0.0,0.0,0.0,0.0,0,6,0.02666666666666667,0,2,6
8,0.0,0.0,0.0,0.0,0,8,0.045,0,2,8
17,0.0,0.0,0.0,0.0,0,17,0.20833333333333334,0,2,17
12,0.0,0.0,0.0,0.0,0,12,0.29527777777777775,0,2,12
26,0.0,0.0,0.0,0.0,0,26,0.21194444444444444,0,2,26
45,0.0,0.0,0.0,0.0,0,45,0.16277777777777777,0,2,45
48,0.0,0.0,0.0,0.0,0,48,0.13333333333333333,0,2,48
53,0.0,0.0,0.0,0.0,0,53,0.12416666666666666,0,2,53
51,0.0,0.0,0.0,0.0,0,51,0.08666666666666667,0,2,51
7,0.0,0.0,0.0,0.0,0,7,0.044444444444444446,0,2,7
7,0.0,0.0,0.0,0.0,0,7,0.044444444444444446,0,2,7
22,0.0,0.0,0.0,0.0,0,22,0.11666666666666667,0,2,22
26,0.0,0.0,0.0,0.0,0,26,0.09861111111111111,0,2,26
35,0.0,0.0,0.0,0.0,0,35,0.12527777777777777,0,2,35
34,0.0,0.0,0.0,0.0,0,34,0.13416666666666666,0,2,34
15,0.0,0.0,0.0,0.0,0,15,0.23555555555555555,0,2,15
19,0.0,0.0,0.0,0.0,0,19,0.03333333333333333,0,2,19
21,0.0,0.0,0.0,0.0,0,21,0.2658333333333333,0,2,21
33,0.0,0.0,0.0,0.0,0,33,0.1675,0,2,33
48,0.0,0.0,0.0,0.0,0,48,0.13361111111111112,0,2,48
7,0.0,0.0,0.0,0.0,0,7,0.030555555555555555,0,2,7
7,0.0,0.0,0.0,0.0,0,7,0.04722222222222222,0,2,7
8,0.0,0.0,0.0,0.0,0,8,0.0475,0,2,8
8,0.0,0.0,0.0,0.0,0,8,0.04027777777777778,0,2,8
6,0.0,0.0,0.0,0.0,0,6,0.06333333333333334,0,2,6
9,0.0,0.0,0.0,0.0,0,9,0.0375,0,2,9
18,0.0,0.0,0.0,0.0,0,18,0.20472222222222222,0,2,18
16,0.0,0.0,0.0,0.0,0,16,0.22333333333333333,0,2,16
28,0.0,0.0,0.0,0.0,0,28,0.19666666666666666,0,2,28
43,0.0,0.0,0.0,0.0,0,43,0.17222222222222222,0,2,43
48,0.0,0.0,0.0,0.0,0,48,0.1322222222222222,0,2,48
56,0.0,0.0,0.0,0.0,0,56,0.11666666666666667,0,2,56
55,0.0,0.0,0.0,0.0,0,55,0.12,0,2,55
5,0.0,0.0,0.0,0.0,0,5,0.0625,0,1,5
7,0.0,0.0,0.0,0.0,0,7,0.03611111111111111,0,2,7
22,0.0,0.0,0.0,0.0,0,22,0.026944444444444444,0,2,22
22,0.0,0.0,0.0,0.0,0,22,0.1125,0,2,22
36,0.0,0.0,0.0,0.0,0,36,0.11888888888888889,0,2,36
30,0.0,0.0,0.0,0.0,0,30,0.21722222222222223,0,2,30
16,0.0,0.0,0.0,0.0,0,16,0.22111111111111112,0,2,16
21,0.0,0.0,0.0,0.0,0,21,0.030833333333333334,0,2,21
27,0.0,0.0,0.0,0.0,0,27,0.20444444444444446,0,2,27
27,0.0,0.0,0.0,0.0,0,27,0.20833333333333334,0,2,27
47,0.0,0.0,0.0,0.0,0,47,0.1313888888888889,0,2,47
5,0.0,0.0,0.0,0.0,0,5,0.05416666666666667,0,2,5
7,0.0,0.0,0.0,0.0,0,7,0.044444444444444446,0,2,7
6,0.0,0.0,0.0,0.0,0,6,0.06333333333333334,0,2,6
5,0.0,0.0,0.0,0.0,0,5,0.05,0,2,5
12,0.0,0.0,0.0,0.0,0,12,0.042222222222222223,0,2,12
7,0.0,0.0,0.0,0.0,0,7,0.03888888888888889,0,2,7
9,0.0,0.0,0.0,0.0,0,9,0.05416666666666667,0,2,9
6,0.0,0.0,0.0,0.0,0,6,0.05333333333333334,0,2,6
7,0.0,0.0,0.0,0.0,0,7,0.07222222222222222,0,2,7
5,0.0,0.0,0.0,0.0,0,5,0.07916666666666666,0,2,5
18,0.0,0.0,0.0,0.0,0,18,0.19583333333333333,0,2,18
19,0.0,0.0,0.0,0.0,0,19,0.12944444444444445,0,2,19
21,0.0,0.0,0.0,0.0,0,21,0.11583333333333333,0,2,21
20,0.0,0.0,0.0,0.0,0,20,0.11833333333333333,0,2,20
21,0.0,0.0,0.0,0.0,0,21,0.11583333333333333,0,2,21
14,0.0,0.0,0.0,0.0,0,14,0.17027777777777778,0,2,14
20,0.0,0.0,0.0,0.0,0,20,0.11916666666666667,0,2,20
19,0.0,0.0,0.0,0.0,0,19,0.1238888888888889,0,2,19
17,0.0,0.0,0.0,0.0,0,17,0.14166666666666666,0,2,17
16,0.0,0.0,0.0,0.0,0,16,0.15444444444444444,0,2,16
23,0.0,0.0,0.0,0.0,0,23,0.10444444444444445,0,2,23
22,0.0,0.0,0.0,0.0,0,22,0.10694444444444444,0,2,22
22,0.0,0.0,0.0,0.0,0,22,0.10777777777777778,0,2,22
18,0.0,0.0,0.0,0.0,0,18,0.13527777777777777,0,2,18
17,0.0,0.0,0.0,0.0,0,17,0.13333333333333333,0,2,17
17,0.0,0.0,0.0,0.0,0,17,0.14583333333333334,0,2,17
19,0.0,0.0,0.0,0.0,0,19,0.12305555555555556,0,2,19
19,0.0,0.0,0.0,0.0,0,19,0.12666666666666668,0,2,19
23,0.0,0.0,0.0,0.0,0,23,0.10527777777777778,0,2,23
16,0.0,0.0,0.0,0.0,0,16,0.15444444444444444,0,2,16
21,0.0,0.0,0.0,0.0,0,21,0.11583333333333333,0,2,21
21,0.0,0.0,0.0,0.0,0,21,0.11333333333333333,0,2,21
17,0.0,0.0,0.0,0.0,0,17,0.14472222222222222,0,2,17
20,0.0,0.0,0.0,0.0,0,20,0.12166666666666667,0,2,20
20,0.0,0.0,0.0,0.0,0,20,0.12083333333333333,0,2,20
19,0.0,0.0,0.0,0.0,0,19,0.12777777777777777,0,2,19
18,0.0,0.0,0.0,0.0,0,18,0.13527777777777777,0,2,18
17,0.0,0.0,0.0,0.0,0,17,0.1363888888888889,0,2,17
21,0.0,0.0,0.0,0.0,0,21,0.11583333333333333,0,2,21
12,0.0,0.0,0.0,0.0,0,12,0.29694444444444446,0,2,12
19,0.0,0.0,0.0,0.0,0,19,0.12222222222222222,0,2,19
13,0.0,0.0,0.0,0.0,0,13,0.16527777777777777,0,2,13
6,0.0,0.0,0.0,0.0,0,6,0.05333333333333334,0,2,6
5,0.0,0.0,0.0,0.0,0,5,0.06666666666666667,0,2,5
